title,company,location,jobtype,elapsed_time,apply_linksalary,tag,verified,closedSenior Software Engineer, Iterative, ['🌏 Worldwide'], , 13h ,https://remoteok.com/l/99244,💰 $50k - $180k,['Engineer ', 'Senior ', 'Developer '],verified,
 Senior Frontend Engineer, Iterative, ['🌏 Worldwide'], , 1d ,https://remoteok.com/l/102909,💰 $50k - $180k,['Engineer ', 'Senior ', 'JavaScript '],verified,
 Senior DevOps Engineer, Calm, [], , 20d ,https://remoteok.com/l/118081,💰 $70k - $120k,['Engineer ', 'Executive ', 'Senior '],,
 Senior Full Stack Developer Django VUE.js, Accruvia, ['🌏 Worldwide'], , 8h ,https://remoteok.com/l/128178,💰 $40k - $120k,['Developer ', 'Vue '],verified,
 Executive Assistant, Checkr, ['🇺🇸 United States'], , 14h ,https://remoteok.com/l/128056,💰 $70k - $120k*,['Manager ', 'Ceo ', 'Growth '],,
 Senior Software Engineer Roku, FuboTV, ['🇺🇸 United States'], , 14h ,https://remoteok.com/l/128055,💰 $70k - $120k*,['Manager ', 'Ceo ', 'Growth '],,
 Technical Recruiter, hims & hers, ['🇺🇸 United States'], , 14h ,https://remoteok.com/l/128054,💰 $70k - $120k*,['Manager ', 'Ceo ', 'Growth '],,
 Senior Customer Success Manager, Nightfall, [], , 14h ,https://remoteok.com/l/128053,💰 $70k - $120k*,['Manager ', 'Ceo ', 'Growth '],,
 Implementation Leader, Great Minds, ['🇺🇸 United States'], , 14h ,https://remoteok.com/l/128052,💰 $70k - $120k*,['Manager ', 'Ceo ', 'Growth '],verified,
 Sales Development Representative, Aspire, ['🇺🇸 United States'], , 14h ,https://remoteok.com/l/128051,💰 $70k - $120k*,['Manager ', 'Ceo ', 'Growth '],,
 Proposal and Contracts Analyst Go Market Sales Tri Lingual, Guidewire Software, ['🇺🇸 United States'], , 14h ,https://remoteok.com/l/128050,💰 $70k - $120k*,['Manager ', 'Ceo ', 'Growth '],,
 Billing A R Collections Specialist, Invitae, ['🇺🇸 United States'], , 14h ,https://remoteok.com/l/128049,💰 $70k - $123k*,['Manager ', 'Ceo ', 'Growth '],,
 Commercial Data Analyst, Invitae, ['🇺🇸 United States'], , 14h ,https://remoteok.com/l/128048,💰 $70k - $115k*,['Manager ', 'Ceo ', 'Growth '],,
 Senior Full Stack Developer, Commit, ['🇨🇦 Canada'], , 2d ,https://remoteok.com/l/127523,💰 $110k - $140k,['Engineer ', 'Developer ', 'JavaScript '],verified,
 Senior Backend Engineer Python, AssemblyAI, ['🌎 North America', '💃 Latin America', '🇪🇺 Europe'], , 10d ,https://remoteok.com/l/123372,💰 $120k - $200k,['Backend ', 'Distributed Systems ', 'Scalability '],verified,
 DevOps Engineer, Orderly, ['Worldwide'], , 3d ,https://remoteok.com/l/127356,💰 $70k - $120k*,['Cryptocurrency ', 'Grafana ', 'System '],,
 Product Manager LATOKEN, Latoken, ['Remote Worldwide'], , 3d ,https://remoteok.com/l/126853,💰 $60k - $120k*,['Manager ', 'Crypto ', 'Cfo '],,
 Integration Specialist, Pyth, ['Global'], , 4d ,https://remoteok.com/l/126344,💰 $70k - $125k*,['Defi ', 'Software ', 'Growth '],,
 Rust Developer, Status SNT, ['Remote (Worldwide)'], , 5d ,https://remoteok.com/l/125801,💰 $60k - $130k*,['Developer ', 'Node ', 'Lead '],,
 